priority,trial,field,issue_type,n_rows_affected,current_behavior,candidate_source_files,candidate_source_columns,evidence_summary,human_question,recommended_next_action
P1,10104,os_time / pfs_time,source_column_choice,213,Currently picking the 'from PT_REG_DT_INT' columns; matches 10% of template rows. Most values differ substantially.,"10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv, 10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv",Per file there are TWO sets of survival columns: (a) from PT_REG_DT_INT (registration date) and (b) from first_cycle_first_day. Template values likely use the first_cycle_first_day variant.,Match rate 0.099 (os_time) / 0.113 (pfs_time). Same patient rows show source PT_REG_DT_INT values diverging from template by ~5-30 days.,"Confirm template's 10104 os_time/pfs_time are anchored to first_cycle_first_day (not PT_REG_DT_INT). If yes, we just swap the column choice.",Update response_columns_aandb / response_columns_armc in YAML to use the 'first_cycle_first_day' columns; re-run pipeline.
P1,CIMAC-e4412,os_time / pfs_time,unit_conversion_or_anchor,167,Multiplying weeks × 7 (os_wk → os_time days); 0% match.,baseline_outcomes.xlsx (Sheet1),"os_wk, pfs_wk (weeks since enrollment), BRENTUXIMAB_STRT_fr_enrol / NIVOLUMAB_STRT_fr_enrol / LAST_PROT_TX_fr_enrol (week offsets to other events).","Source os_wk first row = 1.56879 (weeks); × 7 = ~11 days. Template os_time for E4412 has ranges in hundreds of days. Suggests either (a) different anchor (e.g., from diagnosis rather than enrollment) or (b) a different column.","Is template E4412 os_time defined as weeks×7 from enrollment, or from a different anchor (e.g., diagnosis, treatment start)? Same for pfs_time.",Compare per-patient os_time template values to (os_wk × 7) + (LAST_PROT_TX_fr_enrol × 7) to identify the anchor. Adjust YAML.
P1,CIMAC-e4412,treatment,value_map_incomplete,167,"Mapping PROT_TX_ARM_ASS_TXT one-letter codes (E→BV+ipi, G→BV+nivo+ipi, Other→BV+nivo). Match 0.293.","baseline_outcomes.xlsx (PROT_TX_ARM_ASS_TXT), CIDC_Annotations_E4412_20230327.xlsx (arm codebook?)","PROT_TX_ARM_ASS_TXT — values seen: E, G, plus possibly C/D/F. Codebook tab in adverse_events.xlsx / treatment.xlsx may list mapping.","Template treatment values for E4412: BV+ipi (67), BV+nivo+ipi (52), BV+nivo (48) = 167. Our E→BV+ipi covers part of these but the other letters are not yet decoded.",Provide (or confirm in the codebook) the mapping for every PROT_TX_ARM_ASS_TXT letter code → treatment label.,Open the Codebook sheet of treatment.xlsx (12 rows) — the arm decoding is almost certainly there. Update YAML treatment_per_arm with the full mapping.
P1,CIMAC-gu16257,clinical_benefit,value_map_incomplete,196,"Currently mapping source RESPTYPE R→Y, N→N, NE→NE; match 0.571.","response.2023-01-04.csv (RESPTYPE, CLCRFL, CYSTSTAT, RECCUR)",Combinations of multiple response flags — RESPTYPE alone seems insufficient. CLCRFL (clinical complete response flag) may be the stronger predictor.,"Template GU16-257 clinical_benefit: Y=112, N=78, NE=6 (total 196). Source RESPTYPE alone gives ~57% match. Other response flags exist and may combine.",How is GU16-257 clinical_benefit Y/N/NE derived from response.csv? Single column? Composite of CLCRFL + RECCUR?,"Compute combinations of (RESPTYPE, CLCRFL, RECCUR) per row and find the rule that reproduces template clinical_benefit. Likely a 2-line Python check on the response file."
P1,CIMAC-gu16257,phase,source_field_unknown,196,Emitted with confidence 0.30 → NA + flagged. Match 0.015.,"data_dictionary.2023-01-19.xlsx, response.2023-01-04.csv (RESPTYPE), disease.2023-01-04.csv, treatment.2023-01-04.csv",Unknown. Template phase Y=24 / N=169 / NaN=3 — a binary indicator (NOT phase I/II). Possibly tied to a treatment-completion flag or a sub-cohort.,Template's 'phase' column for GU16-257 holds Y/N (not phase I/II). Source has 'CLCRFL' (clinical complete response flag) Y/N which has the right cardinality. Worth testing.,What does the GU16-257 template 'phase' Y/N actually encode? Is it CLCRFL or another response.csv flag?,"Cross-tab template phase against response.csv columns (CLCRFL, CYSTSTAT, RESPTYPE) per cimac_part_id to identify the source. Then add a phase column in YAML."
P2,10013,Cimac.id,cimac_id_absent_in_source,196,All 196 anchor rows emit Cimac.id=NA + flagged. P2 pass performed an exhaustive scan of every cell of every file in 10013-clinical/ for strings starting with any known cimac_part_id (7-char prefix) followed by a sample-suffix: zero hits.,specimen_collection_2023-09-13.csv (cimac_part_id + M-codes only),"M6 (sample type), M7 (visit), M2 (days), M4 (anatomic site) — no sample identifier",Confirmed: no column in any 10013 file holds sample-level Cimac.id. External CIMAC manifest is the only way to populate this column.,Is there a CIMAC sample manifest for 10013 we can be pointed to? (Path / Google Drive / ShipRamp export.),"Place the manifest file under 10013-clinical/ and update YAML source mapping. Without it, harmonized rows ship with NA Cimac.id."
P2,10013,arm,high_flag_volume,196,196 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),196 cells in 10013 have confidence below threshold for arm.,Is there a known authoritative source for 10013 arm that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10013' & harmonized_field=='arm', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10013,clinical_benefit.binary,high_flag_volume,196,196 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),196 cells in 10013 have confidence below threshold for clinical_benefit.binary.,Is there a known authoritative source for 10013 clinical_benefit.binary that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10013' & harmonized_field=='clinical_benefit.binary', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10013,os_stat,high_flag_volume,196,196 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),196 cells in 10013 have confidence below threshold for os_stat.,Is there a known authoritative source for 10013 os_stat that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10013' & harmonized_field=='os_stat', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10013,os_time,high_flag_volume,196,196 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),196 cells in 10013 have confidence below threshold for os_time.,Is there a known authoritative source for 10013 os_time that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10013' & harmonized_field=='os_time', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10013,pfs_stat,high_flag_volume,196,196 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),196 cells in 10013 have confidence below threshold for pfs_stat.,Is there a known authoritative source for 10013 pfs_stat that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10013' & harmonized_field=='pfs_stat', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10013,pfs_time,high_flag_volume,196,196 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),196 cells in 10013 have confidence below threshold for pfs_time.,Is there a known authoritative source for 10013 pfs_time that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10013' & harmonized_field=='pfs_time', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10026,clinical_benefit.binary,template_match_low,207,Match rate 0.748 across 214 rows (160 match / 54 mismatch).,"(see provenance_long.csv for this (trial, field))",(see provenance_long.csv),Validation: template_match_rate=0.748. Investigate specific rows via validation_report.csv filter trial=='10026' & column=='clinical_benefit.binary'.,What source column or transformation should be used for 10026 clinical_benefit.binary to better match the template?,Inspect validation_report.csv for 10026/clinical_benefit.binary; identify the divergence pattern; refine value_map or column choice in harmonization_config.yaml; re-run pipeline.
P2,10026,phase,high_flag_volume,207,207 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),207 cells in 10026 have confidence below threshold for phase.,Is there a known authoritative source for 10026 phase that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10026' & harmonized_field=='phase', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,10104,phase,high_flag_volume,213,213 rows flagged for review (NA in harmonized output).,(see flagged_for_review.csv source_files col),(see flagged_for_review.csv candidate_source_variables col),213 cells in 10104 have confidence below threshold for phase.,Is there a known authoritative source for 10104 phase that the pipeline missed?,"Filter flagged_for_review.csv to trial=='10104' & harmonized_field=='phase', inspect notes / proposed_mapping; decide whether the field is genuinely unrecoverable from source (then accept NA) or the YAML config needs a new column / value_map."
P2,14C0059G,Cimac.id,cimac_id_absent_in_source,22,"All 23 anchor rows emit Cimac.id=NA + flagged. P2 pass scanned all 26 files for any string starting with a known cimac_part_id (e.g., CA44FBW) followed by a sample suffix: zero hits.",research_sample_collection_apheresis.csv (cimac_part_id + Visit + Days only),(no sample-level id column),Confirmed: 14C0059G has no CIDC annotation file and no specimen-linkage table with Cimac.id. External manifest required.,"Is there a CIMAC manifest or assay-shipping log for 14C0059G that maps (Patient, Visit) → Cimac.id?",Add the manifest to 14C0059G-clinical/ and configure as the source for Cimac.id in the YAML.
P2,14C0059G,age,source_field_missing,22,Emitted with confidence 0.30 → NA + flagged for all rows.,"patient_demographics_all.csv (8 cols, no Age column)",(none),"Source demographics file has Race, Gender, Ethnicity, ECOG cols but no Age column. enrollment.csv lacks age too.","Is there a separate age-at-enrollment file for 14C0059G? Or is age intentionally omitted (e.g., PHI redaction)?","If age intentionally redacted, document in the trial-level notes and lower the age threshold for this trial only. Otherwise obtain age data."
P3,10104,clinical_benefit.binary,template_match_low,213,Match rate 0.920 across 213 rows (196 match / 17 mismatch).,"(see provenance_long.csv for this (trial, field))",(see provenance_long.csv),Validation: template_match_rate=0.920. Investigate specific rows via validation_report.csv filter trial=='10104' & column=='clinical_benefit.binary'.,What source column or transformation should be used for 10104 clinical_benefit.binary to better match the template?,Inspect validation_report.csv for 10104/clinical_benefit.binary; identify the divergence pattern; refine value_map or column choice in harmonization_config.yaml; re-run pipeline.
P3,10104,os_stat,template_match_low,213,Match rate 0.920 across 213 rows (196 match / 17 mismatch).,"(see provenance_long.csv for this (trial, field))",(see provenance_long.csv),Validation: template_match_rate=0.920. Investigate specific rows via validation_report.csv filter trial=='10104' & column=='os_stat'.,What source column or transformation should be used for 10104 os_stat to better match the template?,Inspect validation_report.csv for 10104/os_stat; identify the divergence pattern; refine value_map or column choice in harmonization_config.yaml; re-run pipeline.
P3,ABTC1603,pfs_stat,template_match_low,145,Match rate 0.899 across 148 rows (133 match / 15 mismatch).,"(see provenance_long.csv for this (trial, field))",(see provenance_long.csv),Validation: template_match_rate=0.899. Investigate specific rows via validation_report.csv filter trial=='ABTC1603' & column=='pfs_stat'.,What source column or transformation should be used for ABTC1603 pfs_stat to better match the template?,Inspect validation_report.csv for ABTC1603/pfs_stat; identify the divergence pattern; refine value_map or column choice in harmonization_config.yaml; re-run pipeline.
P3,ALL (9 template trials),bor_bin,unresolved_derivation,1771,NA in harmonized output; row added to flagged_for_review.csv per policy. NOT derived because rule isn't pinned down.,DERIVED from clinical_benefit.binary + pfs_time,"clinical_benefit.binary, pfs_time","Across 9 template trials, clinical_benefit.binary=SD splits 99/178 between bor_bin=0/1 (clearly not a function of clinical_benefit.binary alone). Mean pfs_time differs: 83d for bor_bin=0, 266d for bor_bin=1. Hypothesis `1 iff R OR (SD AND pfs_time>=183)` matches 86% of CIMAC-s1400i rows and 78% of EAY131_Z1D — close to the standard 'clinical benefit rate' definition but not perfect.","Is bor_bin the standard clinical-benefit indicator (CR/PR plus SD lasting >=6 months), and what is the exact PFS threshold (days) for each trial?","Provide the operational definition from the original analysis plan (or pointer to the statistician). Once confirmed, add a single derivation block in harmonization_config.yaml (bor_bin_rule: {threshold_days: N, criteria: ...}) and the extractor helper will emit it with high confidence."
P3,ALL (9 template trials),pfs_bin,unresolved_derivation,1771,NA in harmonized output; flagged for every row.,DERIVED from pfs_stat + pfs_time,"pfs_stat, pfs_time",Template pfs_bin does NOT mirror pfs_stat (counter-examples in every trial). Hypothesis `1 iff pfs_time>=183 OR pfs_stat=0` matches 81% on CIMAC-s1400i and 81% on EAY131_Z1D — suggestive of a 6-month PFS landmark indicator but not exact.,"What is the canonical pfs_bin rule? Standard candidates: (a) 6-month PFS landmark, (b) 4-month PFS, (c) trial-specific.",Confirm rule + threshold; commit to harmonization_config.yaml.
P3,CIMAC-s1400i,age,source_data_not_derivable,561,Emitted with confidence 0.55 (below 0.80 threshold) → NA in harmonized output; row flagged.,Clinical Dataset 2023_03_14.csv (age_num),"age_num (integer, age at enrollment)","Template age values are decimals (e.g., 50.5, 47.9, 79.3); source `age_num` is integer (enrollment age). Difference is sample-time offset, which requires per-sample collection date — NOT present in any S1400I source file.",Where is the per-sample collection date for S1400I stored? (External CIMAC sample manifest? Another file we missed?),"If sample collection dates can be supplied (CSV with cimac_part_id, Cimac.id, collection_date), the extractor will compute decimal age. Otherwise accept enrollment-age proxy with documented caveat."
